[12:42:43] [main/INFO]: ModLauncher running: args [--username, DeathSpore3, --version, forge-43.2.10, --gameDir, C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5, --assetsDir, C:\Users\tjpharis\curseforge\minecraft\Install\assets, --assetIndex, 1.19, --uuid, 6dd2091fa53949d7addd2cb434043d51, --accessToken, ????????, --clientId, N2E4ZWNhN2ItMWRmZi00MzZkLTgxZjAtMzNlODAxMmIyNDk4, --xuid, 2535417530036590, --userType, msa, --versionType, release, --width, 854, --height, 480, --launchTarget, forgeclient, --fml.forgeVersion, 43.2.10, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[12:42:43] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.3 by Microsoft; OS Windows 10 arch amd64 version 10.0
[12:42:53] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/tjpharis/curseforge/minecraft/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2397!/ Service=ModLauncher Env=CLIENT
[12:42:54] [main/INFO]: Found mod file abnormals_delight-1.19.2-4.0.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file AdvancedPeripherals-0.7.27r.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file AdvancementPlaques-1.19.2-1.4.7.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file AE2WTLib-12.8.7.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file AI-Improvements-1.19.2-0.5.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file AkashicTome-1.6-23.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file alexsmobs-1.21.1.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file allurement-1.19.2-3.1.0.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file AmbientEnvironment-forge-1.19.2-8.0+3.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file AmbientSounds_FORGE_v5.2.13_mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file appleskin-forge-mc1.19-2.4.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file Applied-Botanics-1.4.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file Applied-Mekanistics-1.3.4.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file appliedenergistics2-forge-12.9.4.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file architectury-6.5.82-forge.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file ars_creo-1.19.2-3.1.3.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file ars_nouveau-1.19.2-3.13.4.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file arsarmiger-1.19.2-1.4.0.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file artifacts-1.19.2-5.0.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file atmospheric-1.19.2-5.0.0.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file AttributeFix-Forge-1.19.2-17.2.6.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file AutoRegLib-1.8.2-55.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file autumnity-1.19.2-4.0.0.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file balm-forge-1.19.2-4.5.7.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file berry_good-1.19.2-6.0.1.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file BetterAdvancements-1.19.2-0.2.2.142.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file BetterCompatibilityChecker-1.0.10-build.50+mc1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file BetterF3-4.0.0-Forge-1.19.2.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file betterlily.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
[12:42:54] [main/INFO]: Found mod file BHMenu-Forge-1.19.2-2.3.1.jar of type MOD with provider {mods folder locator at C:\Users\tjpharis\curseforge\minecraft\Instances\Valhelsia 5\mods}
